Item,Our Price,Walmart Price,Walmart Link,Walmart Image,Safeway Price,Safeway Link,Safeway Image,Inexact Match
"Mott's Fruit Flavored Snacks, Assorted Fruit, Gluten Free, Value Pack, 22 Pouches, 17.6 oz",$2.99,$4.97,https://www.walmart.com/ip/Mott-s-Fruit-Flavored-Snacks-Assorted-Fruit-Gluten-Free-Value-Pack-22-Pouches-17-6-oz/443858261?classType=VARIANT&athbdg=L1600&from=/search,https://i5.walmartimages.com/seo/Mott-s-Fruit-Flavored-Snacks-Assorted-Fruit-Gluten-Free-Value-Pack-22-Pouches-17-6-oz_cedb01a9-e98f-4a30-ac21-8ec0ab478259.75f5b492aa3d12924ccf04e28e21d45f.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,,,,
"Rockstar Recovery Strawberry Lemonade with Electrolytes, 16 fl oz Can",$0.99,$1.88,https://www.walmart.com/ip/Rockstar-Recovery-Strawberry-Lemonade-with-Electrolytes-16-fl-oz-Can/5216407641?classType=VARIANT&from=/search,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcToni04b9nVZVwM8aqTK-ElkqfC-mYKzMrhHWJc5jSaBiv_eg,,,,
"Betty Exclusives OREO Baked Cheesecake Mix, Includes Real OREO Cookie Pieces, 8.9 oz",$0.99,$4.12,https://www.walmart.com/ip/Betty-Crocker-Oreo-Baked-Cheesecake-Mix-8-9oz/13344865724?classType=VARIANT&from=/search,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTJtEZ7HbKNSwmc3o30xRgSWKv49EoePk5aJtpPof3WB372IA,,,,
"poppi Alpine Blast Prebiotic Soda, 12 oz, 4 Pack Cans",$1.99,$8.18,https://www.walmart.com/ip/poppi-Alpine-Blast-Prebiotic-Soda-12-oz-4-Pack-Cans/15539619738?classType=VARIANT&athbdg=L1600&from=/search,https://i5.walmartimages.com/seo/poppi-Alpine-Blast-Prebiotic-Soda-12-oz-4-Pack-Cans_3e844d0a-4638-4018-94f6-cec2137e0221.95506de27cf1f9fa4c4c9d20d737152b.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,,,,
"poppi Grape Prebiotic Soda Cold, 12 fl oz Can, Single Can",$0.99,$3.75,https://www.walmart.com/ip/poppi-Grape-Prebiotic-Soda-Cold-12-fl-oz-Can-Single-Can/15171214418?classType=REGULAR&athbdg=L1200&from=/search,https://i5.walmartimages.com/seo/poppi-Grape-Prebiotic-Soda-Cold-12-fl-oz-Can-Single-Can_ac38e3c5-b433-4416-8e8a-9ea5b6b1acdd.8578f50b760b93e13bbe4745f2e193e2.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,,,,
Buitoni Four Cheese Ravioli - 10 OZ,$2.99,,,,$5.99,https://www.safeway.com/shop/product-details.971300639.html,https://images.albertsons-media.com/is/image/ABS/971300639-C1N1?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,
Buitoni Roasted Chicken & Garlic Tortelloni - 10 OZ,$2.99,,,,$5.99,https://www.safeway.com/shop/product-details.971302832.html,https://images.albertsons-media.com/is/image/ABS/971302832-C1N1?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,
The Greek Gods Plain Nonfat Yogurt - 24 Oz,$1.99,,,,$3.99,https://www.safeway.com/shop/product-details.960159124.html,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRINkdSuOAdyup39fJyWMigqt-svxS4FcZn2DrhTyVEQp_N9g,Same size different flavor
Tillamook Farmstyle Whole Milk Mozzarella Cheese Slices - 8 Oz,$2.49,,,,$4.99,https://www.safeway.com/shop/product-details.970557754.html,https://images.albertsons-media.com/is/image/ABS/970557754-C1N1?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,
"Goodles Bling Bling Bac'n Cheddar Mac and Cheese, Shelf-Stable 6oz",$2.99,$3.78,https://www.walmart.com/ip/Goodles-Bling-Bling-Bac-n-Sweet-and-Peppery-Bacon-Flavored-Cheddar-Mac-and-Cheese-Shells-Shelf-Stable-6oz/5369088486,https://i5.walmartimages.com/seo/Goodles-Bling-Bling-Bac-n-Sweet-and-Peppery-Bacon-Flavored-Cheddar-Mac-and-Cheese-Shells-Shelf-Stable-6oz_ade40ae2-f5ff-43a9-987a-244d825df0fd.2818ca1a8f1fc1c86934f67c9274875b.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,,,,
"Kellogg's Krave Glazed Donut Holes Breakfast Cereal, Kids Cereal, Family Breakfast, Family Size, Glazed Chocolate, 17oz Box",$0.99,$5.29,https://www.walmart.com/ip/Kellogg-s-Krave-Glazed-Donut-Holes-Breakfast-Cereal-Kids-Cereal-Family-Breakfast-Family-Size-Glazed-Chocolate-17oz-Box/9124451019?classType=VARIANT&from=/search,https://i5.walmartimages.com/seo/Kellogg-s-Krave-Glazed-Donut-Holes-Breakfast-Cereal-Kids-Cereal-Family-Breakfast-Family-Size-Glazed-Chocolate-17oz-Box_d300f3c5-aee0-40d2-a600-1712779a3e14.7ac48deec236a878c6ae37b09b055111.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,,,,
"Handi-Snacks RITZ Crackers 'N Cheesy Dip Snack Packs, 10 Snack Packs",$1.99,$6.98,https://www.walmart.com/ip/Handi-Snacks-RITZ-Crackers-N-Cheesy-Dip-Snack-Packs-10-Snack-Packs/5059676699?classType=VARIANT&from=/search,https://i5.walmartimages.com/seo/Handi-Snacks-RITZ-Crackers-N-Cheesy-Dip-Snack-Packs-10-Snack-Packs_41f2fbcc-7ded-4118-ab48-8360364b63de.20433f12fac8d6f65c9e70c6478da85c.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,,,,
"Betty Crocker Soft Baked Cookie Mix, Chocolate Caramel, Holiday Baking, 16.4 oz",$0.99,$2.97,https://www.walmart.com/ip/Betty-Crocker-Soft-Baked-Cookie-Mix-Chocolate-Caramel-Flavored-16-4-oz/14374450843?classType=REGULAR&from=/search,https://i5.walmartimages.com/seo/Betty-Crocker-Soft-Baked-Cookie-Mix-Chocolate-Caramel-Flavored-16-4-oz_f202c77f-dcfb-40ec-a67d-975c0750f310.177ad13e4fbc963c70aa1fb631d10e38.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,,,,
"Duncan Hines Keto Friendly Vanilla Flavored Frosting, 11 oz",$1.99,$5.96,https://www.walmart.com/ip/Duncan-Hines-Keto-Friendly-Vanilla-Flavored-Frosting-11-oz/320124812?classType=VARIANT&from=/search,https://i5.walmartimages.com/seo/Duncan-Hines-Keto-Friendly-Vanilla-Flavored-Frosting-11-oz_3b1b62d0-fef7-47e8-9d75-929811be3948.0a4f69e1a6591e7e5f86d80535ddf66b.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,,,,
Momofuku Soy & Scallions Noodles - 14.2 Oz,$5.99,,,,$11.99,https://www.safeway.com/shop/product-details.971315186.html,https://images.albertsons-media.com/is/image/ABS/971315186-C1N1?$ng-ecom-pdp-desktop$&defaultImage=Not_Available,
"Kraft Mac and Cheese, 1 Box, for Easy Dinner or Dinner Sides, Ranch Flavored, No Artificial Flavors, Preservatives or Dyes, 7.25 oz",$0.99,$3.48,https://www.walmart.com/ip/Kraft-Ranch-Flavored-Mac-Cheese-Macaroni-and-Cheese-Dinner-7-25-oz-Box/6078662998?classType=VARIANT&athbdg=L1200&from=/search,https://i5.walmartimages.com/seo/Kraft-Ranch-Flavored-Mac-Cheese-Macaroni-and-Cheese-Dinner-7-25-oz-Box_24c89029-02c6-4340-8faa-6fcc2936cde0.44040b818d864961f3c96b2fa4f611ba.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,,,,
"Old El Paso Hard and Soft Taco Dinner Kit, Meal Prep, 12 Count, 11.4 oz",$1.49,$3.48,https://www.walmart.com/ip/Old-El-Paso-Taco-Dinner-Kit-Hard-Soft-11-4-oz/14869826?classType=VARIANT&athbdg=L1200&from=/search,https://i5.walmartimages.com/seo/Old-El-Paso-Taco-Dinner-Kit-Hard-Soft-11-4-oz_54aa5e25-f0d4-4b4b-a1d7-56236ac19cba.706927cd9b24dfd4da5b57db7549cd22.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,,,,
