Name,Walmart,Safeway,Walmart link,Walmart Image,Safeway link,Safeway Image
Idahoan Buttery Homestyle Mashed Potatoes Pouch - 4 Oz,$1.27,$2.49,https://www.walmart.com/ip/Idahoan-Buttery-Homestyle-Mashed-Potatoes-4-oz/10312430?classType=VARIANT&athbdg=L1300&from=/search,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRt98LdQlY87JXWEwDjxcl-52Z7tWNBvy-ndcnKM4muHGVQhA,https://www.safeway.com/shop/product-details.126400108.html,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcS7X82oT7AyAU0Q2fTvr2or_7hn8JTlItnso3EPr1AYVPGvoQ
Private Label Beans Green French Style - 14.5 Oz,$0.50,$1.00,https://www.walmart.com/ip/Great-Value-Cut-Green-Beans-Canned-Green-Beans-14-5-oz-Can/10448318?selectedSellerId=F55CDC31AB754BB68FE0B39041159D63,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8qT7OCf1zaweWdKtWrMqHWGX80Ts-yp7UAv3FnXC0E4TdPQ,https://www.safeway.com/shop/product-details.121100010.html,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSdjrAYxh-TU6kF-GMT4ECnh_UPCjeJW5ARNWub3OY0uLZClg
Private Label Sweet Peas - 15 Oz,$0.76,$1.00,https://www.walmart.com/ip/GREAT-VALUE-SWEET-PEAS-15OZ/10451509?selectedSellerId=F55CDC31AB754BB68FE0B39041159D63,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcR24WdJwyqAe5i2t-0YSijjwojq-2svCDuBO7NohVtf_gMO9w,https://www.safeway.com/shop/product-details.121200004.html,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRKZzZS-DlEneP4AHfuLRsvwFfT174pBMpOJewRqVWtwJpOIg
"Heinz HomeStyle Turkey Gravy, 12 oz Jar",$1.88,$3.50,https://www.walmart.com/ip/Heinz-HomeStyle-Turkey-Gravy-12-oz-Jar/15529431?classType=VARIANT&athbdg=L1300&from=/search,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWk6F90BB6KQ50A1xn3-B-yjYKyNyXGEl6TSaSVGPwVwb66w,https://www.safeway.com/shop/product-details.105300024.html,https://images.albertsons-media.com/is/image/ABS/105300024-C1N1?$ng-ecom-pdp-desktop$&defaultImage=Not_Available
"Ocean Spray® Jellied Cranberry Sauce, Canned Side Dish, 14 oz Can",$2.42,$2.50,https://www.walmart.com/ip/Ocean-Spray-Jellied-Cranberry-Sauce-Canned-Side-Dish-14-oz-Can/15240706?classType=VARIANT&athbdg=L1600&from=/search,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRASbLYEek1j47GkPjegpbxcORdJ8IgjfLckFZoDJV2eQT4_w,https://www.safeway.com/shop/product-details.960027214.html,https://images.albertsons-media.com/is/image/ABS/960027214?$grid-product-card-desktop$&defaultImage=Not_Available
Campbell's Condensed Cream of Mushroom Soup - 10.5 Oz,$1.00,$1.69,https://www.walmart.com/ip/Campbell-s-Condensed-Cream-of-Mushroom-Soup-10-5-oz-Can/10321675?classType=VARIANT&athbdg=L1300&from=/search,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQlLF2sDFOljjWineh8CKEoLWi4nVKeAPZOXvZyzwN1yQF4MA,https://www.safeway.com/shop/product-details.125010057.html,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRVkvgk7ujZajit25F_l_5uS-RtJwjCFrDEB12SRPZykV701w
"Swanson 100% Natural Chicken Stock, 32 oz Carton",$2.98,$3.99,https://www.walmart.com/ip/Swanson-100-Natural-Chicken-Stock-32-oz-Carton/38772376?classType=VARIANT&athbdg=L1200&from=/search,https://i5.walmartimages.com/seo/Swanson-100-Natural-Chicken-Stock-32-oz-Carton_4727965f-3ada-4f48-995e-ad5db563846b.5ba50e6ec1b3f8d5fde4a2565a597593.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,https://www.safeway.com/shop/product-details.960110396.html,https://images.albertsons-media.com/is/image/ABS/960110396-C1N1?$ng-ecom-pdp-desktop$&defaultImage=Not_Available
French's Original Crispy Fried Onions - 6 Oz,$3.72,$3.99,https://www.walmart.com/ip/French-s-Non-GMO-Kosher-Original-Crispy-Fried-Onions-6-oz-Can/15716579?classType=VARIANT&athbdg=L1300&from=/search,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ0Jra3YTePAPNALJYusj44enETnfA2XwF_j5R5vw0rwzHWTw,https://www.safeway.com/shop/product-details.221050003.html,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ2BecXD4-bwmTbu2L05GEiOtrOGEcDGyWuf2nXsBop02lHAg
Marie Callender's Dutch Apple Pie Frozen Dessert - 38 Oz,$5.63,$9.79,https://www.walmart.com/ip/Marie-Callender-s-Dutch-Apple-Pie-Frozen-Dessert-38-oz-Frozen/847469964?classType=REGULAR&athbdg=L1300&from=/search,https://i5.walmartimages.com/seo/Marie-Callender-s-Dutch-Apple-Pie-Frozen-Dessert-38-oz-Frozen_1515d351-9a76-43fb-a2e4-08ffa5a23806.0d7fbf185bb0d518292c794676b4e037.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,https://www.safeway.com/shop/product-details.960470532.html,https://images.albertsons-media.com/is/image/ABS/960470532-C1N1?$ng-ecom-pdp-desktop$&defaultImage=Not_Available
Martinelli's Cider Sparkling Gold Medal 150 years - 25.4 Fl. Oz.,$3.98,$3.50,https://www.walmart.com/ip/Martinelli-s-Gold-Medal-Sparkling-Apple-Cider-with-100-Pure-Juice-25-4-fl-oz/10307749?classType=VARIANT&athbdg=L1200&from=/search,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRRcLrb5xdgNo5eBrTWxlGIOFJyXa445EIWk81VcxQ1pO0-OA,https://www.safeway.com/shop/product-details.120020464.html,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTX1wMHsCu80b_HPlO1ZF24qNaypAGoSs9iBIlskcS6W4_eJg
